"gvkey","tic","conm","PC1","PC2","PC3","prccq","growth","big_growth"
2270,"VAL","VALARIS PLC",0.68155758007274,1.15219352162709,0.682268070736449,3.56,-0.397631133671743,"NO"
2277,"BRRE","BLUE RIDGE REAL ESTATE CO",1.59153867678364,0.375953675064812,-0.0372544135882866,6.39,-0.20125,"NO"
2285,"BA","BOEING CO",-14.6996084927142,-2.37472661839455,-7.43043397368634,322.5,0.0935539656166287,"NO"
2312,"RHI","ROBERT HALF INTL INC",0.782977113998382,-0.152078232128228,-0.151891523227572,57.2,0.0298883687432482,"NO"
2337,"RFP","RESOLUTE FOREST PRODUCTS INC",1.14520376866529,0.586201774995192,-0.00685698228676514,7.93,-0.282352941176471,"NO"
2342,"BWL.A","BOWL AMERICA INC  -CL A",1.61747642600038,0.224239669038747,-0.159026255798287,16.2,0.0799999999999999,"NO"
2352,"BRC","BRADY CORP",1.42996637786568,0.0666634784465891,-0.284091575355916,40.29,0.0588699080157688,"NO"
2369,"BAM","BROOKFIELD ASSET MANAGEMENT",-15.1906524468763,1.55537728736542,1.55946119439402,38.35,-0.119200734956362,"NO"
2390,"BRID","BRIDGFORD FOODS CORP",1.53676035799181,0.225061966275651,-0.211820764511672,16.77,0.31015625,"YES"
2393,"BGG","BRIGGS & STRATTON",1.50528188686967,0.38325624961863,-0.235043863984584,13.08,-0.484430429641309,"NO"
2403,"BMY","BRISTOL-MYERS SQUIBB CO",-2.79619524321803,0.735252774152586,4.83854782921912,51.98,-0.151762402088773,"NO"
2410,"BP","BP PLC",-25.5577339209595,2.32461853346261,1.91513550885221,37.92,-0.0977872947894361,"NO"
2411,"BTY10","BT GROUP PLC",-5.35665595246589,0.642887776086443,0.404080509058245,15.2,-0.165751920965971,"NO"
2435,"BF.B","BROWN FORMAN CORP",0.241118232762283,-0.0209700670822025,-0.467934798050545,46.34,-0.187302700806734,"NO"
2436,"CAL","CALERES INC",1.22847001868887,0.0828346639813096,-0.331815885564877,34.2,0.251372118551043,"NO"
2444,"BC","BRUNSWICK CORP",0.970139738611925,0.0509777047444384,0.0833396949735804,46.45,-0.158819268381021,"NO"
2448,"MTRN","MATERION CORP",1.48542195955177,0.175393438745434,-0.186204784415629,44.99,-0.0742798353909465,"NO"
2485,"CXEE","CHINA XUEFENG ENVIRON ENGR",1.55672952875109,0.300273980927277,-0.157357674478963,3.5,-0.158653846153846,"NO"
2497,"MTZ","MASTEC INC",0.618194866739746,-0.284856632214299,-0.564833871583609,40.56,-0.171399387129724,"NO"
2504,"UIS","UNISYS CORP",1.09232213390168,0.413268093823593,0.0837255610781569,11.63,0.426993865030675,"YES"
2536,"RAMP","LIVERAMP HOLDINGS INC",1.42461136249364,0.442238455184385,-0.0925786015252356,38.63,0.40166908563135,"YES"
2547,"CI","CIGNA CORP",-4.1736303933564,-1.23627635441951,-0.537053455258821,189.92,-0.064848096902851,"NO"
2556,"CSS","CSS INDUSTRIES INC",1.4938133728326,0.0498552004759326,-0.293085148115877,8.97,-0.677685950413223,"NO"
